19:24:26  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:04  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:04  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:04  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:05  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:05  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:05  L -> UBX CFG,  Size   9,  'Config'
19:25:05  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:05  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:05  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:05  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:05  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:05  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:05  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:06  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:06  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:06  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:06  L -> UBX CFG,  Size   9,  'Config'
19:25:06  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:06  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:06  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:06  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:06  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:06  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:07  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:07  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:07  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:07  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:07  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:07  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:07  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:07  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:07  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:07  L -> UBX CFG,  Size   9,  'Config'
19:25:08  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:08  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:08  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:08  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:08  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:08  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:08  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:08  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:08  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:08  L -> UBX CFG,  Size   9,  'Config'
19:25:09  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:09  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:09  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:09  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:09  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:09  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:09  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:09  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:09  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:09  L -> UBX CFG,  Size   9,  'Config'
19:25:10  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:10  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:10  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:10  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:10  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:10  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:10  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:10  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:10  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:10  L -> UBX CFG,  Size   9,  'Config'
19:25:11  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:11  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:11  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:11  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:11  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:11  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:11  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:11  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:11  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:12  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:12  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:12  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:12  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:12  L -> UBX CFG,  Size   9,  'Config'
19:25:12  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:12  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:12  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:12  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:12  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:13  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:13  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:13  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:13  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:13  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:13  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:13  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:13  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:13  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:13  L -> UBX CFG,  Size   9,  'Config'
19:25:14  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:14  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:14  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:14  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:14  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:14  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:14  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:14  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:14  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:15  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:15  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:15  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:15  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:15  L -> UBX CFG,  Size   9,  'Config'
19:25:15  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:15  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:15  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:15  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:15  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:16  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:16  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:16  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:16  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:16  L -> UBX CFG,  Size   9,  'Config'
19:25:16  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:16  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
19:25:16  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:16  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:16  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:17  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:17  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:17  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:17  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:17  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:17  L -> UBX CFG,  Size   9,  'Config'
19:25:17  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:17  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:17  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:17  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:18  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:18  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:18  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:18  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:18  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:18  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:18  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:18  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:18  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:18  L -> UBX CFG,  Size   9,  'Config'
19:25:19  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:19  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:19  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:19  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:19  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:19  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:19  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:19  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:19  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:19  L -> UBX CFG,  Size   9,  'Config'
19:25:20  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:20  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:20  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:20  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:20  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:20  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:20  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:20  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:20  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:20  L -> UBX CFG,  Size   9,  'Config'
19:25:21  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:21  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:21  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:21  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:21  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:21  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:21  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:21  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:21  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:22  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:22  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:22  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:22  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:22  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:22  L -> UBX CFG,  Size   8,  'Config'
19:25:22  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:22  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:22  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:22  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:23  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:23  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:23  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:23  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:23  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:23  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:23  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:23  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:23  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:23  L -> UBX CFG,  Size   8,  'Config'
19:25:24  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:24  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:24  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:24  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:24  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:24  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:24  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:24  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:24  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:24  L -> UBX CFG,  Size   8,  'Config'
19:25:25  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:25  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:25  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:25  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:25  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:25  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:25  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:25  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:25  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:25  L -> UBX CFG,  Size   8,  'Config'
19:25:26  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:26  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:26  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:26  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:26  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:26  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:26  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:26  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:26  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:26  L -> UBX CFG,  Size  10,  'Config'
19:25:27  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:27  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:27  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:27  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:27  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:27  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:27  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:27  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:27  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:27  L -> UBX CFG,  Size  10,  'Config'
19:25:28  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:28  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:28  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:28  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:28  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:28  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:28  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:28  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:28  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:29  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:29  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:29  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:29  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:29  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:29  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:29  L -> UBX CFG,  Size  10,  'Config'
19:25:29  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:29  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:29  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:30  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:30  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:30  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:30  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:30  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:30  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:30  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:30  L -> UBX CFG,  Size  10,  'Config'
19:25:30  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:30  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:31  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:31  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:31  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:31  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:31  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:31  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:31  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:31  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:31  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:31  L -> UBX CFG,  Size  10,  'Config'
19:25:32  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:32  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:32  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:32  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:32  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:32  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:32  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:32  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:32  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:32  L -> UBX CFG,  Size  10,  'Config'
19:25:33  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:33  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:33  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:25:33  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:25:33  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:25:33  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:33  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:25:33  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:25:33  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:25:34  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:25:34  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:25:34  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
